name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Lost+ (with Jay-Z),256.908,2008-11-24,Viva La Vida (Prospekt's March Edition),True,24,0.0081,0.257,0.805,0.494,0.357,-7.025,0.0559,175.251,4,0.39
Lovers in Japan - Osaka Sun Mix,238.24,2008-11-24,Viva La Vida (Prospekt's March Edition),False,22,0.00263,0.402,0.941,0.394,0.298,-6.035,0.075,111.982,4,0.319
Now My Feet Won't Touch the Ground,147.521,2008-11-24,Viva La Vida (Prospekt's March Edition),False,24,0.817,0.494,0.255,0.853,0.0819,-13.797,0.0305,123.502,4,0.13
Life in Technicolor,149.133,2008-06-19,Viva La Vida or Death and All His Friends,False,38,0.0102,0.288,0.662,0.944,0.498,-10.482,0.0347,131.056,4,0.254
Cemeteries of London,201.106,2008-06-19,Viva La Vida or Death and All His Friends,False,38,0.0054,0.437,0.806,0.00822,0.1,-7.693,0.0353,109.109,3,0.271
Lost!,236.213,2008-06-19,Viva La Vida or Death and All His Friends,False,41,0.0057,0.359,0.779,0.837,0.379,-7.52,0.0412,86.951,4,0.582
42,237.4,2008-06-19,Viva La Vida or Death and All His Friends,False,37,0.221,0.309,0.636,0.00281,0.102,-7.202,0.0344,141.382,4,0.177
Lovers in Japan,411.013,2008-06-19,Viva La Vida or Death and All His Friends,False,39,0.0427,0.202,0.733,0.696,0.243,-7.599,0.0446,118.217,4,0.0728
Yes,426.653,2008-06-19,Viva La Vida or Death and All His Friends,False,32,0.00884,0.162,0.807,0.358,0.187,-6.277,0.0538,161.577,4,0.227
Viva La Vida,242.373,2008-06-19,Viva La Vida or Death and All His Friends,False,75,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4,0.417
Violet Hill,222.653,2008-06-19,Viva La Vida or Death and All His Friends,False,54,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4,0.11
Strawberry Swing,249.666,2008-06-19,Viva La Vida or Death and All His Friends,False,42,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4,0.428
Death and All His Friends,378.853,2008-06-19,Viva La Vida or Death and All His Friends,False,36,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4,0.0792
Lost?,222.053,2008-05-26,Viva La Vida or Death and All His Friends,False,23,0.95,0.492,0.311,0.00139,0.105,-12.016,0.0258,80.549,4,0.245
Square One,287.634,2005-06-07,X&Y,False,54,0.00674,0.451,0.679,0.00136,0.164,-6.884,0.0319,124.169,4,0.0602
What If,298.519,2005-06-07,X&Y,False,58,0.313,0.304,0.502,0.0011,0.138,-6.707,0.035,136.779,4,0.204
White Shadows,328.219,2005-06-07,X&Y,False,54,0.00521,0.491,0.783,0.0361,0.0951,-8.997,0.0484,127.437,4,0.26
Fix You,295.533,2005-06-07,X&Y,False,85,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4,0.124
Talk,311.291,2005-06-07,X&Y,False,66,0.00541,0.415,0.554,0.00202,0.155,-10.839,0.0334,120.318,4,0.163
X&Y,274.175,2005-06-07,X&Y,False,56,0.563,0.225,0.561,0.00987,0.366,-6.813,0.0352,153.24,4,0.0818
Speed of Sound,287.906,2005-06-07,X&Y,False,75,0.00488,0.514,0.898,0.0345,0.0746,-6.765,0.0577,123.067,4,0.353
A Message,285.345,2005-06-07,X&Y,False,65,0.327,0.566,0.459,0.000253,0.202,-9.488,0.0289,116.916,4,0.151
Low,332.104,2005-06-07,X&Y,False,52,0.0224,0.466,0.882,0.0264,0.342,-8.962,0.0442,132.086,4,0.502
The Hardest Part,262.88,2005-06-07,X&Y,False,66,0.0228,0.5,0.844,0.00398,0.455,-5.883,0.0368,123.721,4,0.445
Swallowed in the Sea,239.001,2005-06-07,X&Y,False,58,0.0557,0.265,0.378,1.29e-06,0.119,-10.823,0.0316,142.1,4,0.153
Twisted Logic,271.86,2005-06-07,X&Y,False,49,0.0267,0.194,0.464,0.0736,0.314,-6.895,0.0322,160.359,3,0.053
Til Kingdom Come,250.668,2005-06-07,X&Y,False,62,0.61,0.607,0.395,0.00768,0.33,-9.593,0.0287,115.068,4,0.274
Politik - Live in Sydney,396.466,2003-11-01,Live 2003,False,40,0.242,0.159,0.585,0.254,0.965,-6.741,0.0333,170.961,3,0.0606
God Put a Smile upon Your Face - Live in Sydney,296.76,2003-11-01,Live 2003,False,37,0.0333,0.461,0.662,0.00175,0.981,-7.211,0.0326,126.452,4,0.183
A Rush of Blood to the Head - Live in Sydney,410.773,2003-11-01,Live 2003,False,38,0.227,0.213,0.526,0.00218,0.36,-8.018,0.0319,137.834,4,0.0621
One I Love - Live in Sydney,308.426,2003-11-01,Live 2003,False,36,0.0168,0.401,0.883,0.0318,0.831,-6.508,0.0459,133.914,4,0.291
See You Soon - Live in Sydney,209.106,2003-11-01,Live 2003,False,40,0.95,0.351,0.343,0.000258,0.936,-13.219,0.0369,77.392,4,0.131
Shiver - Live in Sydney,325.733,2003-11-01,Live 2003,False,36,0.0296,0.255,0.686,1.08e-05,0.948,-6.532,0.0399,115.075,3,0.137
Everything's Not Lost - Live in Sydney,527.826,2003-11-01,Live 2003,False,37,0.65,0.282,0.424,0.107,0.987,-9.012,0.0279,135.875,4,0.0505
Moses - Live in Sydney,329.173,2003-11-01,Live 2003,False,40,0.45,0.461,0.619,0.272,0.923,-7.471,0.0284,128.958,4,0.164
Yellow - Live in Sydney,336.666,2003-11-01,Live 2003,False,42,0.0458,0.265,0.674,0.000141,0.724,-7.48,0.0324,171.366,4,0.187
Clocks - Live in Sydney,332.426,2003-11-01,Live 2003,False,40,0.608,0.493,0.727,0.0206,0.376,-6.857,0.0324,130.794,4,0.114
In My Place - Live in Sydney,253.106,2003-11-01,Live 2003,False,38,0.00772,0.202,0.673,0.000232,0.926,-7.075,0.036,143.656,4,0.136
Amsterdam - Live in Sydney,320.16,2003-11-01,Live 2003,False,37,0.724,0.304,0.234,9.23e-05,0.929,-10.728,0.0286,77.121,3,0.0725
Politik,318.626,2002-08-08,A Rush of Blood to the Head,False,67,0.0364,0.262,0.482,0.000189,0.11,-7.75,0.0294,170.968,4,0.063
In My Place,226.68,2002-08-08,A Rush of Blood to the Head,False,77,0.0553,0.424,0.588,4.95e-06,0.298,-5.455,0.0278,144.636,4,0.193
God Put a Smile upon Your Face,297.306,2002-08-08,A Rush of Blood to the Head,False,68,0.175,0.611,0.556,7.14e-05,0.0359,-5.761,0.0288,126.532,4,0.252
The Scientist,309.6,2002-08-08,A Rush of Blood to the Head,False,87,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4,0.213
Clocks,307.879,2002-08-08,A Rush of Blood to the Head,False,84,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,4,0.255
Daylight,327.8,2002-08-08,A Rush of Blood to the Head,False,56,0.00976,0.453,0.571,0.518,0.0846,-6.117,0.0314,132.787,4,0.189
Green Eyes,223.04,2002-08-08,A Rush of Blood to the Head,False,68,0.539,0.607,0.405,6.7e-06,0.231,-8.607,0.0265,129.543,4,0.233
Warning Sign,331.133,2002-08-08,A Rush of Blood to the Head,False,64,0.0942,0.532,0.433,0.0121,0.142,-9.423,0.0278,140.666,4,0.0395
A Whisper,238.333,2002-08-08,A Rush of Blood to the Head,False,61,0.586,0.277,0.797,0.341,0.221,-5.66,0.0385,177.004,3,0.26
A Rush of Blood to the Head,351.4,2002-08-08,A Rush of Blood to the Head,False,60,0.156,0.525,0.472,4.39e-06,0.29,-8.018,0.0255,138.39,4,0.116
Amsterdam,319.36,2002-08-08,A Rush of Blood to the Head,False,59,0.836,0.269,0.176,0.0343,0.122,-10.463,0.0296,78.861,4,0.105
Don't Panic,136.866,2000-07-10,Parachutes,False,73,0.206,0.602,0.612,0.00607,0.107,-8.409,0.0335,122.062,4,0.453
Shiver,304.2,2000-07-10,Parachutes,False,70,0.0334,0.396,0.803,0.0,0.0688,-6.186,0.0487,116.705,3,0.286
Spies,318.773,2000-07-10,Parachutes,False,61,0.0236,0.309,0.673,0.000144,0.0635,-5.524,0.0319,147.599,4,0.0732
Sparks,227.093,2000-07-10,Parachutes,False,87,0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,3,0.165
Yellow,266.773,2000-07-10,Parachutes,False,91,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,4,0.285
Trouble,273.426,2000-07-10,Parachutes,False,75,0.189,0.565,0.546,0.0015,0.17,-7.496,0.0314,139.757,4,0.195
Parachutes,46.2,2000-07-10,Parachutes,False,62,0.871,0.555,0.0845,2.27e-06,0.138,-18.348,0.0518,137.001,4,0.375
High Speed,256.466,2000-07-10,Parachutes,False,65,0.396,0.495,0.525,0.00736,0.0961,-9.342,0.0301,154.466,4,0.249
We Never Change,249.4,2000-07-10,Parachutes,False,65,0.535,0.433,0.288,0.000169,0.105,-10.801,0.0296,136.939,3,0.131
Everything's Not Lost - Includes Hidden Track 'Life Is For Living',436.44,2000-07-10,Parachutes,False,61,0.104,0.374,0.456,0.000176,0.197,-7.35,0.0368,135.643,4,0.0763
